report_title,report_url,pdf_filename,page_number,row_number,code_localite,localite,montant_des_credits,montant_des_depots,nombre_guichets,periode
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,1,10,AGADIR,27887290,40712619,172,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,2,566,AGDZ,69185,331330,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,3,97,AGHBALA,105805,160316,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,4,493,AGOURAI,50284,359112,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,5,576,AHFIR,193551,2070964,9,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,6,827,AINATTIG,157913,247450,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,7,583,AINBENIMATHAR,66589,388991,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,8,822,AINELAOUDA,429563,888121,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,9,796,AINHARROUDA,828942,1663548,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,10,492,AINTAOUJDATE,328570,1416390,8,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,11,502,AINZOHRA,5320,477429,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,12,12,AITBAHA,60853,384426,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,13,386,AITISHAK,27175,182813,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,14,22,AITMELLOUL,4034937,6824324,34,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,15,454,AITOURIR,132257,723485,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,16,697,AJDIR,16611,317598,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,17,577,AKLIM,69038,960905,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,18,696,AKNOUL,39740,566580,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,19,732,ALAAOUAMRA,63611,352010,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,20,515,ALAAROUI,279398,5195450,13,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,21,50,ALHOCEIMA,1092831,6334282,29,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,22,461,AMIZMIZ,82052,254222,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,23,43,AOULOUZ,57643,333369,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,24,17,AOURIR,54630,538224,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,25,643,ASILAH,306276,1901268,8,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,26,323,ASSA,142830,155246,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,27,176,AZEMMOUR,594045,1280723,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,28,70,AZILAL,323934,953074,12,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,29,425,AZROU,909390,1760083,12,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,30,405,BEJAAD,254443,1323474,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,31,13,BELFAA,121321,1011635,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,32,615,BENAHMED,364891,1752555,8,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,33,201,BENGUERIR,860955,1902178,17,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,34,110,BENSLIMANE,1063103,2433218,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,35,523,BENTIB,41675,2021794,7,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,36,511,BENIANSAR,203112,1707552,7,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,37,571,BENIDRAR,45423,556573,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,38,90,BENIMELLAL,3407151,11514011,50,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,39,575,BERKANE,2402977,11569820,46,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,40,621,BERRECHID,4129171,6336434,38,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,41,286,BHALIL,19367,229741,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,42,11,BIOUGRA,498615,2274873,13,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,43,177,BIRJDID,190086,720664,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,44,55,BNIBOUAYACH,67320,1499623,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,45,122,BNIYAKHLEF,185827,475798,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,46,312,BOUARFA,252240,651939,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,47,527,BOUDINAR,17296,927898,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,48,212,BOUDNIB,91139,177495,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,49,481,BOUFAKRANE,120977,533590,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,50,325,BOUIZAKARNE,129607,655941,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",1,51,130,BOUJDOUR,273720,883391,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,1,401,BOUJNIBA,73384,384652,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,2,140,BOULEMANE,82037,411506,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,3,555,BOUMALENDADES,66191,702448,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,4,395,BOUMIA,85338,216265,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,5,791,BOUSKOURA,1024208,3098868,15,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,6,121,BOUZNIKA,641252,2342722,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,7,108,BRADIA,54370,721742,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,8,780,CASABLANCA,765261822,427941862,1050,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,9,150,CHEFCHAOUEN,476679,1412065,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,10,601,CHEMAIA,159884,485108,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,11,465,CHICHAOUA,255686,780047,8,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,12,530,DAKHLA,2107201,4891346,25,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,13,792,DARBOUAZZA,587910,1569283,12,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,14,503,DARKEBDANI,21203,1016331,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,15,94,DAROULDZIDOUH,53129,668069,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,16,20,DCHEIRAELJIHADIA,703445,2219178,13,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,17,81,DEMNATE,138022,934760,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,18,624,DEROUA,301499,645165,6,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,19,501,DRIOUCH,129784,3591962,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,20,626,ELBOROUJ,104803,1085479,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,21,622,ELGARA,94785,470379,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,22,31,ELGUERDANE,62018,397089,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,23,491,ELHAJEB,619918,1634506,14,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,24,170,ELJADIDA,9092105,15595522,77,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,25,190,ELKELAADESSRARHNA,1070808,4744624,22,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,26,556,ELKELAAMGOUNA,99422,1203703,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,27,96,ELKSIBA,152489,617822,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,28,587,EL-AIOUN,135029,1310108,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,29,218,ERFOUD,163982,1094820,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,30,210,ERRACHIDIA,1061758,3451522,23,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,31,240,ESSAOUIRA,1028692,4153194,22,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,32,260,ES-SEMARA,340742,600736,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,33,270,FES,18899963,47016266,229,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,34,310,FIGUIG,40578,597449,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,35,101,FKIHBENSALAH,926471,7607497,21,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,36,726,FNIDEQ,315876,1955777,10,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,37,671,GHAFSAI,93361,326964,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,38,223,GOULMIMA,66639,541043,4,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,39,320,GUELMIM,936801,3699033,21,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,40,703,GUERCIF,825833,3999068,15,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,41,508,HADBNICHIKER,17515,577960,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,42,333,HADKOURT,91120,129044,3,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,43,632,HADSOUALEM,315093,610772,5,02-2026
"Répartition par localités, des guichets, des dépôts et des crédits 02-2026","https://www.bkam.ma/content/download/846711/9157406/Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf","Répartition par localités, des guichets, des dépôts et des crédits 02 2026.pdf",2,44,826,HARHOURA,548012,1979882,7,02-2026
